2988,label,text,title,text_len,punc_count
2989,0,"Music director, singer and actor Himesh Reshammiya’s latest flick Tera Surroor, a sequel to his debut film Aap Ka Suroor released in theaters on Friday, to widespread chastisement. While movie-watchers and reviewers alike have been exhibiting no hesitation whatsoever in tearing the film apart, the final nail in the coffin was hammered by top Indian movie aficionado Arvind Kejriwal, who said that even he wouldn’t be watching and reviewing the movie.

Launching a scathing attack on the movie and its crew, the Delhi Chief Minister said, “You know that the Aam Aadmi Party stands for honesty and that I’ve severely punished whoever is immoral. As a new rule, whoever is found indulging in any corrupt activity will be forced to watch this movie. There can’t be a bigger deterrent to dishonesty than this. As the Chief Minister of India’s capital, I always live up to my responsibility of guiding my fellow citizens and countrymen to watching the best movies in town every Friday. But with due apologies to all of you, I have to say that even I, of all people, won’t be watching Tera Suroor. I have done nothing wrong so as to self-inflict this kind of punishment.”

The AAP chief went on to tear into PM Narendra Modi, placing the blame squarely on him. “Obviously, it is that coward and psychopath Modi who ruined this Gujarati talent. Look at him in the 90s and early 2000s – Himesh gave us such soulful and wonderful music. But after Modi became the CM, Himesh felt inspired to start singing and then acting and the rest is history. And you have Modi talking about skill development? Ha! Is this what he means by that? If so, then I sure as hell don’t want my skills to be developed by Modi. By the way, honestly speaking, as I always do, I admit I am a terrible singer. But you know what? Apart from The Ashutosh of course, many others have told me that even I sing better than Himesh. That is what Modi has achieved as Gujarat’s CM,” Kejriwal thundered.

Meanwhile, Modi supporters online hit right back at the Delhi CM, accusing him of double standards. “Kejriwal will not hesitate to watch secular Sajid Khan’s and his brother-in-law’s movies, no matter how ludicrous they are. But because Himesh is a Gujarati who flourished under Narendra bhai, he cries foul? #Hypocrisy #MinorityAppeasement #VotebankPolitics,” tweeted BJP spokesperson Sambit Patra, following it up with a photoshopped pic of him watching the movie.

An emotional Reshammiya, however, broke down on hearing Kejriwal’s statement. “I don’t know why God is being so unkind to me. There are only 2 people in the world whom I expected to give favorable reviews to this movie – one is Taran Adarsh and the other is Arvindji. I’m not even counting myself in. Taran bhai has, of course, given 4.5 stars to the movie and hasn’t disappointed me. But I really wish Arvindji changes his mind to review my movie. That’s the only thing I’m looking forward to. Please, Arvindji! Ooooooooooooooo,” wailed the music director with folded hands.",Arvind Kejriwal says even he won’t be reviewing Tera Surroor,3005,2.462562396
2990,1,"This story is from October 29, 2019

* Scenario 1 : BJP + Independents + smaller parties

* Scenario 2 : BJP + Sena

* Scenario 3: Sena + Outside support of NCP & Congress

* Scenario 4: BJP running a

Download The Times of India News App for Latest Politics News

Subscribe Start Your Daily Mornings with Times of India Newspaper! Order Now

MUMBAI: Maharashtra is stuck in a peculiar state where the two pre-poll allies have enough numbers to form government, yet none of them has staked its claim. On the other hand, the BJP that fell short of six seats in Haryana cobbled up the numbers in a couple of days.The point of contention remains the distribution of key portfolios and sharing the Chief Minister's post, which the BJP has refused to part with. As Shiv Sena called off Tuesday's meeting with BJP General Secretary and close aide of Amit Shah Bhupendra Yadav, who was tasked to negotiate with the Sena, here are the ways Mission 145 can be achieved (Maharashtra Assembly has 288 seats).Let's start with the most improbable scenario. The BJP has bagged 105 seats on its own in the 288-member House. It needs 40 more seats to be able to form a government on its own, regardless of Sena. If the BJP is able to bag all 13 independents, which looks tough at the moment for BJP, the number goes up to 118. The saffron party would still need 27 seats. But all smaller parties, which includes the BJP's ideological adversary All India Majlis-E-Ittehadul Muslimeen (AIMIM) and CPI(M) - all put together are coming at 16. In that rarest of the rare situation where the BJP will have even Owaisi and Yechury backing BJP, the saffron party can't form the government on its own.Possibility: ImpossibleIf Scenario 1 was most improbable, this one is the most probable. Even on Tuesday night, BJP's Bhupendra Yadav and Chandarkant Dada Patil were slated to come on the negotiating table with Sena's Sanjay Raut and Subhash Desai, which now stands called off. The Sena and BJP are known to be warring partners who have done business with each other in spite of the Sena's mouthpiece targeting none less than Prime Minister Narendra Modi. Given its track record, and also the way the two sealed a deal after more than a month of negotiation before 2019 general election, Sena-BJP government is the most practical scenario where both together have 160 seats, 15 above the halfway mark. A BJP Union minister who has family relationship with Matoshree, the residence of Thackerays, insisted that he is hopeful Scenario 2 will emerge as the final scenario.Possibility: Most likelyThis sounds ideologically off track but politics, as they say, is an art of exploring improbabilities. With 54 seats of Sharad Pawar's Nationalist Congress Party and 44 seats of Indian National Congress giving outside support to a Shiv Sena government, for the first time ever a Thackeray can be the Chief Minister of Maharashtra, a state where young Aditya's grandfather was known to be the kingmaker.Given the acrimonious relationship with the BJP, it easy for Congress to lend outside support to even Shiv Sena to keep BJP away. Congress MP Hussain Dalwai told IANS, ""We can think of supporting Sena, but it has to take the call first"".And the dragging of Pawar's name in the cooperative bank Scam just ahead of the state election that pumped in a new lease of life in the 79-year-old leader to fight the BJP also provides good enough reason to Sharad Pawar to lend outside support to an Aditya Thackeray-led government where BJP will sit in the opposition.Possibility: UnlikelyIn 2014, BJP ran a short minority government when Shiv Sena acted pricey. For days, Sena sat in the opposition side as Pawar's NCP provided a breather to Fadnavis-led BJP's minority government. Given the situation today, it's a deja vu for the state and the party. Also, given ED's allegations against Sharad and Ajit Pawar, an outside support to a minority BJP government can make things easy for the Pawar duo.So, what scenario will emerge as the final scenario? BJP's Mumbai Spokesperson Suresh Nakhua told IANS, ""There's a saying which goes like this: 'If you are with us, with you. If you are not with us, without you. If you are against us, in spite of you.' It will be BJP government and BJP CM, I can assure you. Rest is all are meaningless.""Possibility: Remote","As Shiv Sena calls off meeting, Maharashtra stares at four scenarios",4319,2.940495485
2991,1,"tv

Updated: Mar 12, 2020 12:18 IST

Mahhi Vij has given it back to trolls who were saying mean things about her newborn daughter, Tara. The actor’s husband Jay Bhanushali recently appeared on Colors’ reality show Mujhse Shaadi Karoge and got into an argument with Paras Chhabrra, after which he was targeted by trolls.

When one involved Tara in the argument, Mahhi snapped and shared a strong-worded tweet. “Don’t get my daughter in between hai dum toh aao samne warna bhokna bandh karo (face me if you have the guts or stop barking).shame on u people shame on ur family for producing such bad souls,” she wrote in her tweet.

Don’t get my daughter in between hai dum toh aao samne warna bhokna bandh karo.shame on u people shame on ur family for producing such bad souls — Mahhi vij (@VijMahhi) March 9, 2020

The Twitter user then deleted their account. Mahhi replied, “Agar dam hai toh keep ur Ac active (keep your account active if you have the guts) bcoz ull be behind bars for talking about rape lets see now dam hai rakh apna account active person cops trace u,” she wrote.

On the show, Paras had talked less than politely about the female contestants, saying that they were all fake and that merely looking at them gave him depression. Jay called his comment ‘wahiyat’ (disgusting) and Paras’ fans online didn’t take it well.

Mahhi and Jay welcomed Tara last year. He and his wife Mahhi Vij also have two other children, whom they had adopted earlier. Earlier this week, Mahhi talked about how she feels about unsolicited advice on parenthood.

Sharing a picture with Tara, she wrote, “People often tell me I am spoiling my girl let her cry. let her be independent 6 months baby. you are holding her too much. Next time you think about telling a mother what she should or shouldn’t when it comes to her kids, without her asking for your advice.Stop and keep it to urself. in the meantime I’ll continue to love al over my sweet doll while I can bcoz I know these moments won’t last forever.One day she won’t need me as much, or she s too cool for mumma m.. until thn I’ll soak in al of the cuddles.”

Jay, too, is excited about the new baby in his life. “Without the support of my family, I would have been nowhere. Especially my wife, the way she has transformed me from a boy to a man. I absolutely love spending time with my little ones. Whenever I’m not at work, I ensure that I spend most of my time with her. I take care of every little thing about her from feeding her to putting her to sleep and also part my role by helping Mahhi with whatever I can and it is the best feeling in the world,” he said.

Follow @htshowbiz for more",Mahhi Vij lashes out at trolls for commenting on her daughter: ‘Stop barking. Shame on you people’,2648,2.379154079
2992,0,"Actors reject Chinese script fearing Coronavirus, script sent to Salman as he is the only one who does movie without touching it",Not just defending. It's a WARNING from Atta Boys to all movie reviewers who criticized Salman's Race 3,128,0.78125
2993,1,"other-sports

Updated: Mar 11, 2020 18:54 IST

World Championships bronze medallist Manish Kaushik (63kg) won a historic ninth Tokyo Olympic quota for India as he upset Commonwealth Games champion and second seed Harrison Garside of Australia 4-1 in the box-off bout at the Asian/Oceanian Olympic Qualifiers in Amman on Wednesday.

This is India’s highest-ever haul of Olympic quotas, surpassing the eight they had earned at the 2012 London Games. The nine quotas also ensured that this was India’s highest ever qualification from a single qualifier.

The other 8 quotas have been brought home by Mary Kom (51kg), Amit Panghal (52kg), Pooja Rani (75kg), Ashish Kumar (75kg), Simranjit Kaur (60kg), Satish Kumar (+91kg), Vikas Krishan (69kg) and Lovlina Borgohain (69kg). India has a chance to add further with the boxers, who failed in their quest at the Asian Qualifiers, getting one more opportunity to realize their Olympic dream at the World Qualifiers to be held in Paris in May.

India’s brilliant performance at the Asian Qualifiers also propelled them to the top position, where they are tied with Kazakhstan among 10 nations.

“It is a moment of pride for Indian Boxing. For the first time ever, 9 Indian pugilists have qualified for the Olympics and that too at the first qualifying event. We still have the World Qualifiers in May and I am confident that India will qualify in all 13 categories,” said Boxing Federation of India President, Ajay Singh.

“Our mission is to win Olympic medals and these 9 qualifications are an indication of the potential that Indian boxers possess. Having qualified in the first qualification event will give them a big boost and will motivate them to work harder. On our part, we along with the Sports Ministry and SAI will ensure that we provide them with the best possible infrastructure and support to meet the end objective,” he added.

Having lost in the quarter-finals, Kaushik was presented with one more chance of securing his maiden appearance at the mega quadrennial Games with the top six from 63kg eligible for Olympic quotas. This time he made no mistake.

In a brutal box-off bout that saw Garside fighting with a bloodied face, Kaushik endured some hard blows and a stiff challenge from his opponent to fulfil his Olympic dream. The 4-1 win also helped him avenge his 2018 Commonwealth Games final defeat to Garside.

Sachin Kumar (81kg), however, did not have the same fortune as he was blanked 0-5 by Tajikistan’s Shabbos Negmatulloev in the box-off final.",Manish Kaushik seals record 9th boxing quota for Tokyo Games,2517,2.781088598
2994,0,"New Delhi. This act of carelessness can cost the Home Minister dearly if his careless attitude towards internal security didn’t cost him anything. P Chidambaram has misplaced the “clean chit” that Congress President and UPA Chairperson Sonia Gandhi had given him yesterday during his 15-minutes meeting on the issue of Finance Ministry note by Pranab Mukherjee, which appeared to implicate him in the 2G spectrum allocation scam.

“Look beneath the sofa; it’s white in color,” Chidambaram was seen hurriedly and worriedly ordering his housekeeping staff, who searched every nook and corner of his official residence to find the now missing “clean chit”.

Chidambaram in a jolly mood last night

“Sir was in very good mood last night when he came back home; he was singing Benny Lava song flashing a piece of paper in his hand,” Gangubai, the senior most member of the housekeeping staff described the scenes of the last evening when Chidambaram came back home after meeting Sonia Gandhi.

“He switched on the television where news channels were discussing what could have transpired in the meetings,” Gangubai further recalled, “He was smiling and suddenly he burst into laughter, waving his piece of paper towards the television screen, yelling – this, this, you biatches!”

Chidambaram reportedly turned off the television when he saw a small report on death of Rajbala, a Baba Ramdev follower who was injured during Ramlila Maidan crackdown in June early this year.

“Good lord, the news has been lost in the whole speculation over 2G note and meetings; perhaps Pranabda is not so bad,” he is alleged to have muttered to himself before going to have a peaceful and sound sleep.

This morning, when he was supposed to hand out the “clean chit” to Prime Minister Manmohan Singh, who is returning to India after speaking at UN, Chidambaram found to his horror that the chit was missing. He frantically searched everywhere but couldn’t find the prized possession.

“He even called up Subramanian Swamy and asked if he had broken into his house last night,” a close aide of Chidambaram told Faking News, “Swamy is reported to have denied the allegations and asked Chidambaram to check if his house was bugged like Pranab Mukherjee’s office.”

“Swamy seemed to suggest that there was someone who was keeping an eye over both Chidambaram and Pranab, and manipulating them to his or her own advantage,” Chidambaram’s aide explained.

Not interested in pondering over conspiracy theories, the Home Minister is reported to have tried calling up everyone, including Digvijay Singh, to get help on the missing “clean chit”, but of no help.

Experts believe that Chidambaram could be in deep trouble if he fails to find the missing chit before Manmohan Singh returns back to India later tonight.

“He better finds it by tomorrow morning and hands it over to the Prime Minister, who will then hand it over to the CBI,” an expert said.",Chidambaram misplaces “clean chit” Sonia Gandhi gave him,2923,1.573725624
2995,0,"India’s limited overs captain Mahendra Singh Dhoni appeared in great spirits on the eve of the team’s 15 day tour of Zimbabwe, where they will play three One day Internationals and three T20 fixtures. Addressing a press conference in Mumbai, MSD, sporting a Mohawk hair do, was his usual forthright self. Here are some excerpts:-

Question: First off, on a personal note MS, how is the baby?

MSD: Well, he is a new face on the scene and I thought he did pretty well, whenever he got the chance, but let’s wait and see. Sorry? Oh, you meant my baby. I thought you were talking about this chap, Sachin Baby who plays for RCB. Ha ha! Well my baby is doing fine though she is having some teething problems, but Sakshi will soon sort that out.

Q: Back to the tour, Graeme Cremer thinks it will be a tough series. Any comment?

MSD: Graham Who? Sorry, didn’t quite catch the name.

Q: Graeme Cremer. Captain of Zimbabwe. He expects a tough series.

MSD: Never heard of him, but I agree with him that it will be a tough series. Certainly for Zimbabwe. (Turns to the manager and asks for the Zimbabwe team list).

Q: MS, you are also without so many key players. No Virat, Ashwin, Jinks, Suresh etc. How will you cope?

MS: Look, I didn’t want any of those guys in the team in the first place. Against Zimbabwe, with Virat and company, I wouldn’t have got a chance to face a single ball. Unless I opened the batting. Then I would have had to listen to Ravi Bhai rooting for Virat as the captain. Not to mention that odious Boria character, who wants Saurav reinstated as the skipper. Oh, hi Boria, didn’t see you hiding behind that wide pillar. Bhalo aachhen? Ok, next?

Q: I am Django Kookkaburra from the Harare Tribune. Can you tell us MS, your assessment of this new look Zimbabwe team?

MS: Look Kooky. May I call you Kooky? Easier all round. Thanks. Any team from Zimbabwe is new to me. I only knew Duncan Fletcher, and it was impossible to get a word out of him. Anyway from the team list in front of me, I see that you have two Mazakadzas and a Chibhabha, which is tough enough on the Indian commentary team. Mutumbami, Muzarabani and Jongwe won’t help matters either. Next question? Ah, Boria. I can see you straining at the leash. Ravi Bhai taught me that expression.

Q: And he taught you well, MS. But since it is unlikely you will skipper India at the next World Cup, given that you will be 38 then, should you not hang up your boots, and let a younger man take over?

MS: To answer that question, I am going to invite Kooky from the Harare Tribune to come and sit next to me. Good. Tell me Kooky, do I look 34 to you (No Boss, you look 24). Did you see me running up and down the stairs before this conference, and was I short of breath? (No Boss, you looked super fit). Do you think I’ll be fit enough to captain India at the next World Cup? (Sure thing MS, I mean Boss). Satisfied, Boria? Go back to Kolkata to your maacher jhol and your rossogollas.

Q: Finally MS, what do you think of Faiz Fazal as a prospect?

MS: I know Zimbabwe has many expats in their team, but I have yet to come across this Fazal chap. Sorry, what was that? He is in my team? (looks at his team sheet). Oh heck, you are quite right. Faiz Fazal, yeah. Good top spin googly bowler. No, no that’s Chahal. I think he is an aggressive middle order batsman who can also turn his arm over. We’ll see at the nets.

Thanks everyone. I am sure we can count on the media’s full support. As Ravi Bhai might put it, I must dash off like a tracer bullet.",Unreal Interview: Captain Dhoni oozes confidence on eve of Zimbabwe tour,3527,4.111142614
2996,1,"In 14 years, filmmaker Homi Adajania has made just four movies, but the director says he is content with his filmography as he believes in having a life beyond cinema. Adajania, whose next release is slice-of-life story 'Angrezi Medium', wants to make people happy through his films.""I am not someone who eats, breathes, sleeps movies. I love telling stories through movies but it is not the be-all and end-all of my life,"" he told .""But when I make films, I want to make everyone happy. That's all that matters. I don't want recognition, that's not my trip,"" he added.Adajania said all his films 'Being Cyrus ', 'Cocktail', 'Finding Fanny ' and 'Angrezi Medium' have contributed to his growth as a director.""With ' Being Cyrus ' I wanted to know how to make a film. For some reason no one asked me if I had made a movie before or not. People probably thought I was directing ads but I was a scuba diving instructor. A friend of mine (Kersi Khambatta) gave me the short story of 'Being Cyrus', which he had written.""I read the story and said I will make it into a movie. Then six months later I made it... If I know it is going to become an experience, then I go ahead. That one or two years of life that you spent, will be a memory.""After his 2005 debut, producer Dinesh Vijan offered 'Cocktail' (2012) to him.The flavour at that was of rom-com movies. I realized I don't have this experience so I wanted to understand this culture. That lured me into getting into this space.""With 2014's 'Finding Fanny', the director said, he wanted to make a movie that was like a picture book.With 'Angrezi Medium', Adajania wanted to work with his favourite actor, Irrfan.""I wanted to work with Irrfan, we have been trying to collaborate for the longest time but it didn't happen until 'Angrezi Medium'. The film has a nice soul, some scenarios are bizarre but they are believable.""'Angrezi Medium' is scheduled to release on March 13.",Director Homi Adajania: Movies not be-all and end-all of my life:,1924,5.093555094
2997,1,"‘To Sourav Ganguly and the BCCI, I would like to say...’ - Sunil Gavaskar hopes Indian board comes up with new tournament

cricket

Updated: Mar 10, 2020 16:09 IST

Former India captain Sunil Gavaskar wants the Board of Control for Cricket in India to come up with a plan in order to organise a Women’s Indian Premier League (IPL) in the country from 2021. Gavaskar believes that the Indian team unearthed several talents in the T20 World Cup and having an IPL now would only help the players grow which would be beneficial for the Indian team in the longer run.

“As far as the BCCI is concerned, they are already doing a lot and which is the reason why this Indian women’s team has progressed so much. They went to Australia almost a month before the tournament started, and played a 3-match T20I series (tri-series) against the Australians,” Gavaskar told India Today.

ALSO READ: Former captain wants Harmanpreet Kaur’s captaincy future reviewed

“They did well over there. They were very well acclimated to the conditions and the pitches in Australia. So you have got to give credit to the BCCI for having done that,” he further added.

“To Sourav Ganguly and the BCCI, I would like to say, maybe next year, look at having a women’s IPL because that will unearth a lot more talent. There is already a lot of talent which we see and that will come to the fore with this performance of this Indian team throughout this tournament.

“The Australian cricket board has backed Australian women’s team for a long, long time. The Women’s Big Bash League has given plenty of opportunities to players, even our players. The likes of Smriti Mandhana, Harmanpreet they have played in the WBBL. That is the tournament where you get to play against the best players and learn from that,” the former India captain added.

“It (IPL) has gone deep into the interiors of India. We have got youngsters coming up from the interiors of India and showing their skills. Therefore, that much wider talent pool is available for selection. That’s exactly what happened with the Australian WBBL.”","‘To Sourav Ganguly and the BCCI, I would like to say...’ - Sunil Gavaskar hopes Indian board comes up with new tournament",2074,2.217936355
2998,0,"After giving full credit to Shri Rahul Gandhi for formulating, scoping, advocating, canvassing support and finally suggesting the title – the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement – for the recently passed Land Acquisition bill, Union Rural Development Minister Shri Jairam Ramesh has gone ahead and credited Rahul Gandhi for the idea to credit Rahul Gandhi for conceiving, midwifing, spawning and christening the landmark legislation. Here are excerpts from his interview with The UnReal Times Lok Sabha correspondent, Kanun Borewala:

URT: Sir, how did Rahul get the idea to credit himself for the land acquisition law?

Jairam: Well, I was feeling very chuffed after crediting Rahul for virtually every aspect of this law. That’s when Rahulji suggested that why don’t I credit him also for suggesting that he be credited for the bill to complete the loop. I was awestruck, needless to say, and readily agreed to his absolutely brilliant suggestion.

URT: Sir, so let us get this straight. First, Rahul went on those padyatras, took extensive notes and inputs from all stakeholders, then came back and synthesized the various inputs to draft the bill?

Jairam: Absolutely, you couldn’t have put it better.

URT: Then he engaged in advocacy and ensured bipartisan support for the bill?

Jairam: Yep. I tell you that boy is a wunderkind. He combines charisma with intellect.

URT: Followed by his changing the title of the bill from the prosaic ‘Land Acquisition Act’ to the more impressive sounding ‘the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement’?

Jairam: Of course. Such a welcome change from calling it, say, the Rajiv Gandhi Aap ka Zameen Aap ke paas kanoon.

URT: And finally, he gave the idea to credit him as well for all this?

Jairam: Yes, that was the touch of class. I should have thought of it myself but even there Rahul baba was a step ahead of me.

URT: Sir, so if the Nehru-Gandhi scion handled everything – field research, synthesis and harmonization of inputs, drafting, generating consensus across the polity, changing the title to finally marketing it in such an ingenious manner – why does he need you as the Union Rural Development Minister? After all, you don’t even stand for Lok Sabha elections.

At this point, the Rural Development Minister’s smile changed into a scowl, and he indicated that the interview had come to an end.",Jairam Ramesh: “Idea to credit Rahul Gandhi for the Land Acquisition bill was also Rahul Gandhi’s”,2468,2.593192869
