,link,date,topic
0,http://www.theunrealtimes.com/2016/09/02/ajay-devgn-hits-back-at-karan-johar-hires-kejriwal-to-bash-his-film-ae-dil-hai-mushkil/,2-Sep-16,Bollywood
1,http://www.theunrealtimes.com/2016/08/30/advance-booking-for-ms-dhoni-the-untold-story-biopic-to-start-only-at-959-am-on-sept-30th/,30-Aug-16,Bollywood
2,http://www.theunrealtimes.com/2016/08/26/bobby-deol-to-unleash-sunny-deol-on-those-who-demand-refunds-in-his-future-dj-gigs/,26-Aug-16,Bollywood
3,http://www.theunrealtimes.com/2016/08/13/video-asaram-bapu-boogies-to-kala-chashma/,13-Aug-16,Bollywood
4,http://www.theunrealtimes.com/2016/08/13/revealed-the-real-reason-behind-shah-rukh-khans-detention-dilwale-dvds-in-his-baggage/,13-Aug-16,Bollywood
5,http://www.theunrealtimes.com/2016/08/13/comic-modi-govt-acts-on-shah-rukh-khans-detention-in-los-angeles-airport/,13-Aug-16,Bollywood
6,http://www.theunrealtimes.com/2016/08/01/dangal-team-to-felicitate-manohar-parrikar-for-much-needed-publicity-boost/,1-Aug-16,Bollywood
7,http://www.theunrealtimes.com/2016/07/25/chargesheet-filed-against-relatives-of-blackbuck-for-framing-salman-khan-in-a-false-case/,25-Jul-16,Bollywood
8,http://www.theunrealtimes.com/2016/06/25/the-unreal-story-behind-salman-khans-remarks/,25-Jun-16,Bollywood
9,http://www.theunrealtimes.com/2016/06/23/skit-raped-woman-remark-khans-decide-on-a-media-strategy/,23-Jun-16,Bollywood
10,http://www.theunrealtimes.com/2016/06/22/kabali-producers-decide-to-cancel-the-release-of-the-film-and-release-the-same-as-many-teasers/,22-Jun-16,Bollywood
11,http://www.theunrealtimes.com/2016/06/22/open-letter-to-salman-khan-from-the-secretary-of-similes-and-metaphors/,22-Jun-16,Bollywood
12,http://www.theunrealtimes.com/2016/06/17/udta-tomato-bollywood-directors-to-use-real-blood-instead-of-tomato-sauce-in-violent-scenes/,17-Jun-16,Bollywood
13,http://www.theunrealtimes.com/2016/06/13/kamal-haasan-takes-over-the-accidental-pm-movie-will-make-it-sequel-to-pushpak/,13-Jun-16,Bollywood
14,http://www.theunrealtimes.com/2016/06/12/association-for-peeing-in-public-app-to-challenge-bombay-hc-order-on-udta-punjab/,12-Jun-16,Bollywood
15,http://www.theunrealtimes.com/2016/06/10/anurag-kashyap-announces-next-movie-girta-punjab-based-on-kings-xi-punjabs-story/,10-Jun-16,Bollywood
16,http://www.theunrealtimes.com/2016/06/09/frustrated-over-losing-media-attention-to-udta-punjab-kejriwal-releases-own-film-udta-aam-aadmi/,9-Jun-16,Bollywood
17,http://www.theunrealtimes.com/2016/06/08/hundreds-of-lyricists-lose-job-after-censor-board-bans-references-to-punjab-in-indipop-songs/,8-Jun-16,Bollywood
18,http://www.theunrealtimes.com/2016/06/05/houseful-3-hits-theaters-across-100-cities-army-deployed-to-rescue-victims-trapped-inside-theaters/,5-Jun-16,Bollywood
19,http://www.theunrealtimes.com/2016/05/23/after-sonu-nigam-himesh-reshammiya-performs-on-the-street-bmc-orders-probe-into-missing-stray-dogs/,23-May-16,Bollywood
20,http://www.theunrealtimes.com/2016/05/19/skit-the-nation-reacts-to-rishi-kapoors-baap-ka-maal-jibe/,19-May-16,Bollywood
21,http://www.theunrealtimes.com/2016/05/17/facebook-wall-reactions-to-aishwarya-rais-purple-lips-in-cannes/,17-May-16,Bollywood
22,http://www.theunrealtimes.com/2016/05/09/vivek-agnihotris-buddha-in-a-traffic-jam-to-be-screened-at-bengalurus-iconic-silk-board-junction/,9-May-16,Bollywood
23,http://www.theunrealtimes.com/2016/05/01/agustawestland-impact-vivek-agnihotri-to-make-new-movie-titled-buddhi-in-air-traffic-jam/,1-May-16,Bollywood
24,http://www.theunrealtimes.com/2016/04/30/thousands-of-salmaniacs-reach-rio-to-support-bhai-iss-eid-rio-olympics-trends-on-twitter/,30-Apr-16,Bollywood
25,http://www.theunrealtimes.com/2016/04/15/superstar-rajinikanth-to-play-sir-ravindra-jadeja-in-cricketers-biopic/,15-Apr-16,Bollywood
26,http://www.theunrealtimes.com/2016/04/07/azharuddin-breaks-down-after-watching-the-trailer-of-his-biopic-accepts-match-fixing-charges/,7-Apr-16,Bollywood
27,http://www.theunrealtimes.com/2016/03/15/arvind-kejriwal-says-even-he-wont-be-reviewing-tera-surroor/,15-Mar-16,Bollywood
28,http://www.theunrealtimes.com/2016/03/07/aamir-khan-to-tattoo-india-is-tolerant-on-his-forehead-during-the-promotion-of-dangal/,7-Mar-16,Bollywood
29,http://www.theunrealtimes.com/2016/02/08/after-deepika-reads-her-dads-letter-salman-khan-to-read-his-court-verdict-at-next-filmfare-awards/,8-Feb-16,Bollywood
30,http://www.theunrealtimes.com/2016/02/06/jet-airways-flight-makes-emergency-landing-after-himesh-reshmmiya-gives-an-in-flight-performance/,6-Feb-16,Bollywood
31,http://www.theunrealtimes.com/2016/01/26/after-ajay-devgan-and-priyanka-chopra-now-the-snake-from-the-movie-nagina-wins-padma-shri-award/,26-Jan-16,Bollywood
32,http://www.theunrealtimes.com/2016/01/12/facebook-wall-reactions-to-sanjay-dutts-early-release-from-yerawada-jail/,12-Jan-16,Bollywood
33,http://www.theunrealtimes.com/2016/01/11/gatecrasher-caught-at-hrithik-roshans-birthday-bash-identified-as-vivek-oberoi/,11-Jan-16,Bollywood
34,http://www.theunrealtimes.com/2015/12/30/ratan-tata-sues-rohit-shetty-for-defaming-tatas-vehicles/,30-Dec-15,Bollywood
35,http://www.theunrealtimes.com/2015/12/25/sajid-khan-tears-into-intolerance-brigade-says-india-has-tolerated-films-like-humshakals/,25-Dec-15,Bollywood
36,http://www.theunrealtimes.com/2015/12/24/liberal-indian-goes-to-watch-dilwale-to-prove-his-tolerance-faints-before-the-interval/,24-Dec-15,Bollywood
37,http://www.theunrealtimes.com/2015/12/21/kejriwal-srk-clash-after-kejriwal-gives-dilwale-0-5-stars/,21-Dec-15,Bollywood
38,http://www.theunrealtimes.com/2015/12/20/pm-modi-undertakes-aerial-survey-of-theaters-screening-dilwale/,20-Dec-15,Bollywood
39,http://www.theunrealtimes.com/2015/12/18/theater-audience-of-dilwale-attacks-shiv-sena-office-after-interval-for-allowing-its-release/,18-Dec-15,Bollywood
40,http://www.theunrealtimes.com/2015/12/10/facebook-wall-fans-celebrities-react-to-salman-khans-acquittal-by-bombay-high-court/,10-Dec-15,Bollywood
41,http://www.theunrealtimes.com/2015/12/10/salman-acquittal-impact-maharashtra-to-implement-odd-even-rule-on-sleeping-on-mumbai-footpaths/,10-Dec-15,Bollywood
42,http://www.theunrealtimes.com/2015/12/02/salman-khan-to-receive-gyanpeeth-award-for-twitter-literature/,2-Dec-15,Bollywood
43,http://www.theunrealtimes.com/2015/11/07/kevin-spacey-all-set-to-play-raman-bhalla-in-ekta-kapoors-ye-hai-mohabbatein-on-star-plus/,7-Nov-15,Bollywood
44,http://www.theunrealtimes.com/2015/11/03/aamir-khan-laments-not-accepting-awards-says-doesnt-have-any-to-return/,3-Nov-15,Bollywood
45,http://www.theunrealtimes.com/2015/10/28/russia-to-conduct-air-strikes-on-theatres-showing-shahid-kapoor-alia-bhatt-starrer-shaandaar/,28-Oct-15,Bollywood
46,http://www.theunrealtimes.com/2015/10/25/why-not-emraan-hashmi-uddhav-thackeray-slams-sonam-kapoor-for-pairing-up-with-paks-fawad-khan/,25-Oct-15,Bollywood
47,http://www.theunrealtimes.com/2015/10/15/aspiring-male-bollywood-playback-singer-rejected-for-not-singing-like-a-drunkard/,15-Oct-15,Bollywood
48,http://www.theunrealtimes.com/2015/09/30/hema-malini-contacts-nasa-recommends-installing-kent-water-purifier-on-mars-after-water-discovery/,30-Sep-15,Bollywood
