,link,date,topic
0,https://www.theunrealtimes.com/2016/07/08/after-nasser-hussain-kamran-akmal-sets-guinness-world-record-for-highest-dropped-catch/,8-Jul-16,Cricket
1,https://www.theunrealtimes.com/2016/07/03/the-interview-an-inside-story/,3-Jul-16,Cricket
2,https://www.theunrealtimes.com/2016/07/02/ravi-shastri-character-to-be-killed-off-in-ongoing-season-say-bcci-scriptwriters/,2-Jul-16,Cricket
3,https://www.theunrealtimes.com/2016/06/26/transcript-the-unreal-times-interviews-the-key-persons-behind-the-anil-kumble-appointment/,26-Jun-16,Cricket
4,https://www.theunrealtimes.com/2016/06/14/now-sreesanth-joins-the-race-applies-for-the-job-of-team-india-coach/,14-Jun-16,Cricket
5,https://www.theunrealtimes.com/2016/06/11/unreal-interview-captain-dhoni-oozes-confidence-on-eve-of-zimbabwe-tour/,11-Jun-16,Cricket
6,https://www.theunrealtimes.com/2016/04/23/unreal-exclusive-with-sachin-tendulkar-the-master-turns-43/,23-Apr-16,Cricket
7,https://www.theunrealtimes.com/2016/04/16/now-shahid-afridi-wants-bollywood-to-make-a-biopic-on-him/,16-Apr-16,Cricket
8,https://www.theunrealtimes.com/2016/04/16/big-blow-to-bcci-court-demands-entry-of-women-into-indian-team/,16-Apr-16,Cricket
9,https://www.theunrealtimes.com/2016/04/15/in-pictures-which-bollywood-actors-would-play-these-cricketers-in-their-biopics/,15-Apr-16,Cricket
10,https://www.theunrealtimes.com/2016/04/15/superstar-rajinikanth-to-play-sir-ravindra-jadeja-in-cricketers-biopic/,15-Apr-16,Cricket
11,https://www.theunrealtimes.com/2016/04/13/supreme-court-mulls-a-separate-bench-for-cricket/,13-Apr-16,Cricket
12,https://www.theunrealtimes.com/2016/04/07/azharuddin-breaks-down-after-watching-the-trailer-of-his-biopic-accepts-match-fixing-charges/,7-Apr-16,Cricket
13,https://www.theunrealtimes.com/2016/04/06/after-claiming-that-india-staged-pathankot-attack-pakistan-jit-claims-their-team-won-t20-world-cup/,6-Apr-16,Cricket
14,https://www.theunrealtimes.com/2016/04/05/lic-orders-its-agents-to-stop-approaching-dhoni-with-retirement-plans/,5-Apr-16,Cricket
15,https://www.theunrealtimes.com/2016/04/04/facebook-wall-west-indies-slam-bang-their-way-to-world-t20-title/,4-Apr-16,Cricket
16,https://www.theunrealtimes.com/2016/04/03/is-mushfiqur-rahim-an-ambani-agent/,3-Apr-16,Cricket
17,https://www.theunrealtimes.com/2016/03/30/pm-modi-does-a-virat-kohli-writes-scathing-post-against-those-trolling-lk-advani/,30-Mar-16,Cricket
18,https://www.theunrealtimes.com/2016/03/29/shatrugan-sinha-blasts-yograj-singh-for-his-dhoni-hate-says-even-he-isnt-so-anti-bjp/,29-Mar-16,Cricket
19,https://www.theunrealtimes.com/2016/03/28/facebook-wall-kohlis-gfaad-innings-trumps-aussies-takes-team-india-to-semis/,28-Mar-16,Cricket
20,https://www.theunrealtimes.com/2016/03/28/the-perfect-finisher-now-dhoni-to-launch-his-own-saunf-brand/,28-Mar-16,Cricket
21,https://www.theunrealtimes.com/2016/03/27/in-pictures-n-srinivasan-through-the-eyes-of-lalit-modi/,27-Mar-16,Cricket
22,https://www.theunrealtimes.com/2016/03/24/facebook-wall-captain-cool-ms-dhoni-helps-india-snatch-victory-from-jaws-of-defeat-indvsban/,24-Mar-16,Cricket
