,link,date,topic
0,http://www.theunrealtimes.com/2016/10/22/varun-gandhi-honeytrapped-aap-varun-dhawan-trolled-rahul-gandhi-promises-honey-factory/,22-Oct-16,Politics
1,http://www.theunrealtimes.com/2016/10/22/facebook-wall-reactions-to-congress-leader-rita-bahuguna-joshis-defection-to-bjp/,22-Oct-16,Politics
2,http://www.theunrealtimes.com/2016/10/22/will-build-a-wall-around-congress-leaders-to-stop-them-from-joining-bjp-rahul-gandhi/,22-Oct-16,Politics
3,http://www.theunrealtimes.com/2016/10/21/congress-says-moving-rita-bahuguna-joshi-to-bjp-was-a-deliberate-strategy-by-prashant-kishor/,21-Oct-16,Politics
4,http://www.theunrealtimes.com/2016/10/16/theatre-owners-to-refuse-food-water-to-anna-hazare-biopic-viewers-in-tribute-to-the-man/,16-Oct-16,Politics
5,http://www.theunrealtimes.com/2016/10/12/patient-file-67420-arvind-kejriwal/,12-Oct-16,Politics
6,http://www.theunrealtimes.com/2016/10/11/arvind-kejriwal-stops-drinking-water-alleging-hydrogen-and-oxygen-of-colluding-in-a-conspiracy/,11-Oct-16,Politics
7,http://www.theunrealtimes.com/2016/10/10/congress-helped-lord-ram-conduct-surgical-strikes-in-lanka-but-avoided-chest-thumping-rahul-gandhi/,10-Oct-16,Politics
8,http://www.theunrealtimes.com/2016/10/09/piece-of-kejriwals-tongue-that-was-cut-out-during-surgery-has-grown-to-full-size-on-its-own/,9-Oct-16,Politics
9,http://www.theunrealtimes.com/2016/10/08/congress-elated-as-country-forgives-rahul-gandhi-for-centi-mental-statements/,8-Oct-16,Politics
10,http://www.theunrealtimes.com/2016/09/25/raj-thackeray-watches-ae-dil-hai-mushkil-trailer-asks-entire-cast-to-leave-india-within-48-hours/,25-Sep-16,Politics
11,http://www.theunrealtimes.com/2016/09/22/inspired-by-renaming-of-race-course-rd-to-lok-kalyan-marg-abbasmustan-rename-race-3-to-lok-kalyan-3/,22-Sep-16,Politics
12,http://www.theunrealtimes.com/2016/09/21/kejriwal-alleges-govts-decision-to-rename-7-rcr-to-7-lkm-is-appeasement-of-lalit-kumar-modi/,21-Sep-16,Politics
13,http://www.theunrealtimes.com/2016/09/17/in-pictures-when-congress-slammed-gadkari-over-his-acche-din-is-manmohan-singhs-phrase-remark/,17-Sep-16,Politics
14,http://www.theunrealtimes.com/2016/09/16/tainted-and-expelled-aap-members-to-float-new-bigger-party-tentatively-named-paap/,16-Sep-16,Politics
15,http://www.theunrealtimes.com/2016/09/14/kejriwal-returns-to-delhi-after-rumours-that-footage-of-delhi-diseases-will-be-premiered-as-a-movie/,14-Sep-16,Politics
16,http://www.theunrealtimes.com/2016/09/14/samsung-india-signs-up-aam-admi-party-for-innovative-product-placement-deal/,14-Sep-16,Politics
17,http://www.theunrealtimes.com/2016/09/13/revealed-underground-group-of-non-bjp-politicians-sympathizers-play-bingo-before-every-election/,13-Sep-16,Politics
18,http://www.theunrealtimes.com/2016/09/12/the-aap-anthem/,12-Sep-16,Politics
19,http://www.theunrealtimes.com/2016/09/09/kejriwal-seeks-bill-clintons-help-on-dealing-with-aap-sex-scandals/,9-Sep-16,Politics
20,http://www.theunrealtimes.com/2016/09/07/in-pictures-up-election-results-after-rahul-gandhis-cot-strategy-to-woo-voters/,7-Sep-16,Politics
