,link,date,topic
0,http://www.fakingnews.com/entertainment/will-take-back-caa-can-find-two-different-expressions-tigers-face-amit-shah-32890,"01, Mar 2020",bollywood
1,http://www.fakingnews.com/entertainment/%e0%a4%aa%e0%a4%be%e0%a4%95%e0%a4%bf%e0%a4%b8%e0%a5%8d%e0%a4%a4%e0%a4%be%e0%a4%a8%e0%a5%80-%e0%a4%a4%e0%a5%8c%e0%a4%ac%e0%a4%be-%e0%a4%a4%e0%a5%8c%e0%a4%ac%e0%a4%be-%e0%a4%b0%e0%a4%bf%e0%a4%aa-32882,"29, Feb 2020",bollywood
2,http://www.fakingnews.com/entertainment/wasnt-easy-shooting-heropanti-suit-didnt-get-chance-show-off-body-tiger-speaks-struggles-32871,"28, Feb 2020",bollywood
3,http://www.fakingnews.com/entertainment/announcing-heropanti-2-national-science-day-tiger-assures-hardcore-fans-movie-doesnt-science-32874,"28, Feb 2020",bollywood
4,http://www.fakingnews.com/entertainment/engineer-accidentally-glances-disheveled-look-mirror-says-look-scary-vicky-kaushals-bhoot-32843,"26, Feb 2020",bollywood
5,http://www.fakingnews.com/entertainment/baba-siddique-feels-neglected-people-start-patching-sharing-netflix-credentials-30821,"26, Feb 2020",bollywood
6,http://www.fakingnews.com/entertainment/next-edition-indian-idol-maybe-consider-contestants-financially-well-off-background-dont-sob-story-share-32836,"26, Feb 2020",bollywood
7,http://www.fakingnews.com/entertainment/%e0%a4%9f%e0%a5%8d%e0%a4%b0%e0%a4%82%e0%a4%aa-%e0%a4%95%e0%a5%8b-%e0%a4%95%e0%a4%bf%e0%a4%b8-%e0%a4%95%e0%a4%b0%e0%a4%a8%e0%a5%87-%e0%a4%b0%e0%a5%8b%e0%a4%a1-%e0%a4%b6%e0%a5%8b-%e0%a4%ae%e0%a5%87-32819,"25, Feb 2020",bollywood
336,http://www.fakingnews.com/entertainment/%e0%a4%9f%e0%a5%8d%e0%a4%b0%e0%a4%82%e0%a4%aa-%e0%a4%95%e0%a5%87-%e0%a4%ad%e0%a4%be%e0%a4%b0%e0%a4%a4-%e0%a4%a6%e0%a5%8c%e0%a4%b0%e0%a5%87-%e0%a4%b8%e0%a5%87-%e0%a4%ac%e0%a5%8c%e0%a4%96%e0%a4%b2-32796,"22, Feb 2020",bollywood
337,http://www.fakingnews.com/entertainment/tiger-shroff-completes-baaghi-4-using-edited-scenes-baaghi-12-3-32786,"21, Feb 2020",bollywood
338,http://www.fakingnews.com/entertainment/tarzan-madly-love-kiara-advani-checking-daboo-ratnanis-calendar-possible-face-off-kabir-singh-expected-32774,"20, Feb 2020",bollywood
339,http://www.fakingnews.com/entertainment/absolutely-baseless-not-star-kid-karan-johar-reacts-aasim-riaz-part-soty3-32763,"19, Feb 2020",bollywood
340,http://www.fakingnews.com/entertainment/omg-%e0%a4%ae%e0%a5%8b%e0%a4%a6%e0%a5%80%e0%a4%9c%e0%a5%80-%e0%a4%95%e0%a5%80-%e0%a4%a6%e0%a5%80%e0%a4%b5%e0%a4%be%e0%a4%b0-%e0%a4%ae%e0%a5%87%e0%a4%82-%e0%a4%88%e0%a4%82%e0%a4%9f-%e0%a4%b2%e0%a4%97-32750,"19, Feb 2020",bollywood
341,http://www.fakingnews.com/entertainment/bus-used-gully-boy-awarded-filmfare-award-best-bus-india-32719,"17, Feb 2020",bollywood
342,http://www.fakingnews.com/entertainment/rajdeep-sardesai-dances-studio-exit-poll-prediction-sidharth-shukla-winning-bigg-boss-13-comes-true-32716,"17, Feb 2020",bollywood
343,http://www.fakingnews.com/entertainment/impressed-struggle-especially-acting-filmfare-jury-justifies-giving-award-ananya-panday-32713,"17, Feb 2020",bollywood
344,http://www.fakingnews.com/entertainment/%e0%a4%b5%e0%a5%88%e0%a4%b2%e0%a5%87%e0%a4%a8%e0%a5%8d%e0%a4%9f%e0%a4%be%e0%a4%87%e0%a4%a8-%e0%a4%a1%e0%a5%87-%e0%a4%aa%e0%a4%b0-%e0%a4%aa%e0%a4%be%e0%a4%b0%e0%a5%8d%e0%a4%95-%e0%a4%ae%e0%a5%87-32710,"17, Feb 2020",bollywood
345,http://www.fakingnews.com/entertainment/mentally-absorbing-find-best-performance-ananya-talks-struggle-winning-debut-award-2-films-32705,"16, Feb 2020",bollywood
346,http://www.fakingnews.com/entertainment/%e0%a4%ac%e0%a5%80%e0%a4%9c%e0%a5%87%e0%a4%aa%e0%a5%80-%e0%a4%95%e0%a5%87-%e0%a4%b9%e0%a4%be%e0%a4%b0%e0%a4%a4%e0%a5%87-%e0%a4%b9%e0%a5%80-%e0%a4%a6%e0%a4%bf%e0%a4%b2%e0%a5%8d%e0%a4%b2%e0%a5%80-32675,"12, Feb 2020",bollywood
347,http://www.fakingnews.com/entertainment/inspired-congress-rejecting-delhi-exit-poll-results-varun-dhawan-rejects-oscars-32649,"10, Feb 2020",bollywood
348,http://www.fakingnews.com/entertainment/uday-chopra-calls-reporter-raise-cab-bill-issue-reporter-sends-money-thinking-uday-doesnt-money-pay-cab-32204,"30, Dec 2019",bollywood
349,http://www.fakingnews.com/entertainment/geologist-finds-new-group-of-rocks-on-salman-khans-birthday-names-it-bhai-rocks-7040,"27, Dec 2019",bollywood
350,http://www.fakingnews.com/entertainment/anti-caa-protesters-vandalized-multiplex-later-found-dabangg-3-viewers-not-happy-movie-32169,"24, Dec 2019",bollywood
351,http://www.fakingnews.com/entertainment/pm-modis-honest-interview-tauba-tauba-reporter-32158,"23, Dec 2019",bollywood
352,http://www.fakingnews.com/entertainment/england-team-takes-help-congress-leaders-project-ashes-defeat-moral-victory-24719,"20, Dec 2019",bollywood
353,http://www.fakingnews.com/entertainment/not-enough-poverty-gully-boy-make-final-list-oscar-jury-32100,"18, Dec 2019",bollywood
354,http://www.fakingnews.com/entertainment/amitabh-removes-poor-cab-driver-contestant-kbc-hot-seat-amid-cab-controversy-32094,"17, Dec 2019",bollywood
355,http://www.fakingnews.com/entertainment/akshay-kumar-requests-govt-extend-citizenship-bill-indian-actors-holding-canadian-citizenship-32087,"17, Dec 2019",bollywood
356,http://www.fakingnews.com/entertainment/desperate-reporters-reach-sushant-singh-rajputs-house-ask-dhonis-views-caaprotests-32082,"17, Dec 2019",bollywood
357,http://www.fakingnews.com/entertainment/pakistani-tauba-tauba-reporter-cab-32058,"15, Dec 2019",bollywood
358,http://www.fakingnews.com/entertainment/tesla-truck-elon-musk-starts-work-bulletproof-tesla-cycle-says-inspiration-came-bollywood-movie-32043,"13, Dec 2019",bollywood
359,http://www.fakingnews.com/entertainment/salman-takes-ill-producer-accidentally-sends-movie-script-actor-may-quit-bigg-boss-32041,"12, Dec 2019",bollywood
372,http://www.fakingnews.com/entertainment/dawood-ibrahim-requests-hirani-make-biopic-27048,"18, Jul 2018",bollywood
373,http://www.fakingnews.com/entertainment/sairat-makers-offer-double-money-received-copyrights-karan-johar-stop-calling-dhadak-remake-sairat-27035,"17, Jul 2018",bollywood
374,http://www.fakingnews.com/entertainment/multiplexes-provide-gas-connection-cinemas-people-make-popcorn-maharashtra-govt-27023,"15, Jul 2018",bollywood
375,http://www.fakingnews.com/entertainment/sony-max-reschedules-daily-sooryavansham-show-avoid-clash-fifa-world-cup-final-27016,"13, Jul 2018",bollywood
376,http://www.fakingnews.com/entertainment/atta-boys-happy-englands-loss-football-world-cup-27009,"13, Jul 2018",bollywood
377,http://www.fakingnews.com/entertainment/atta-boys-live-faking-news-studio-26993,"10, Jul 2018",bollywood
378,http://www.fakingnews.com/entertainment/narendra-modi-proposes-sanjay-dutts-name-bharat-ratna-watching-sanju-26972,"07, Jul 2018",bollywood
379,http://www.fakingnews.com/entertainment/sequel-dhonis-biopic-planned-sushant-starts-learning-defend-full-tosses-26952,"05, Jul 2018",bollywood
380,http://www.fakingnews.com/entertainment/biopic-angry-alok-nath-sues-producers-sanju-watching-good-deeds-done-sanjus-character-26936,"04, Jul 2018",bollywood
381,http://www.fakingnews.com/entertainment/man-replaces-gods-idol-sanjay-dutts-statue-watching-sanju-26919,"03, Jul 2018",bollywood
382,http://www.fakingnews.com/entertainment/beta-least-drugs-hi-lelo-emotional-salim-khan-tells-arbaaz-sohail-watching-sanju-26907,"02, Jul 2018",bollywood
383,http://www.fakingnews.com/entertainment/akshay-kumars-next-film-bathroom-promote-bathing-among-engineering-students-26898,"01, Jul 2018",bollywood
