,link,date,topic
12,http://www.fakingnews.com/politics/people-not-understand-mulayam-singhs-language-start-supporting-caa-anti-caa-speech-32197,"30, Dec 2019",politics
13,http://www.fakingnews.com/politics/saloon-industry-big-loss-shiv-sena-men-start-shaving-peoples-head-making-jokes-uddhav-32162,"23, Dec 2019",politics
14,http://www.fakingnews.com/politics/bjp-leaders-jharkhand-ask-indian-citizenship-persecuted-voters-realize-later-already-32148,"23, Dec 2019",politics
15,http://www.fakingnews.com/politics/smriti-irani-demands-apology-rahul-gandhi-not-apologizing-32045,"13, Dec 2019",politics
16,http://www.fakingnews.com/politics/per-month-five-null-pointer-exception-solutions-will-provided-techie-arvind-kejriwal-31977,"09, Dec 2019",politics
17,http://www.fakingnews.com/politics/never-talked-mobile-sitting-inside-auto-cant-comment-slowdown-automobile-industry-nirmala-31951,"05, Dec 2019",politics
18,http://www.fakingnews.com/politics/organizing-ludo-king-tournament-winner-will-made-finance-minister-bjp-31935,"04, Dec 2019",politics
19,http://www.fakingnews.com/politics/ajit-pawar-guide-governor-taking-deputy-cms-oath-31870,"27, Nov 2019",politics
20,http://www.fakingnews.com/politics/new-angry-birds-game-ravi-shankar-prasads-face-birds-31839,"25, Nov 2019",politics
21,http://www.fakingnews.com/politics/95-hotel-reviews-maharashtra-written-mlas-last-2-weeks-faking-survey-31835,"25, Nov 2019",politics
22,http://www.fakingnews.com/politics/fadnavis-calls-raut-give-cm-seat-sena-raut-picks-call-says-cm-will-sena-puts-phone-31788,"19, Nov 2019",politics
23,http://www.fakingnews.com/politics/ani-reporter-sanjay-raut-become-business-partners-developing-strong-friendship-past-month-31739,"13, Nov 2019",politics
252,http://www.fakingnews.com/politics/doordarshan-just-declared-maharashtra-election-results-today-give-us-time-govt-formation-shiv-sena-31732,"12, Nov 2019",politics
253,http://www.fakingnews.com/politics/bjp-agrees-share-netflix-password-last-resort-keep-shiv-sena-away-congress-ncp-31723,"11, Nov 2019",politics
254,http://www.fakingnews.com/politics/last-ditch-effort-sanjay-raut-forms-whatsapp-group-cong-ncp-makes-aditya-group-admin-31678,"06, Nov 2019",politics
255,http://www.fakingnews.com/politics/surjewala-calls-urgent-meeting-plan-rahul-gandhis-next-visit-returns-current-vacation-31613,"31, Oct 2019",politics
