,link,date,topic
0,http://www.fakingnews.com/sports/govt-approves-10-gutkha-companies-current-number-companies-not-enough-cover-big-motera-stadium-boards-32756,"19, Feb 2020",Sports
1,http://www.fakingnews.com/sports/get-injuries-like-right-now-no-injuries-allowed-ipl-starts-bccis-ultimatum-players-32590,"06, Feb 2020",Sports
2,http://www.fakingnews.com/sports/kl-rahul-goes-watch-movie-attendant-asks-vacate-booked-seat-allocates-another-seat-number-32592,"05, Feb 2020",Sports
3,http://www.fakingnews.com/sports/kl-rahul-refused-learn-bowling-hence-dube-bowl-kohli-shastri-blame-rahul-32554,"02, Feb 2020",Sports
4,http://www.fakingnews.com/sports/icc-give-money-bcci-keep-dhoni-team-save-cost-using-drs-system-32488,"29, Jan 2020",Sports
5,http://www.fakingnews.com/sports/concerned-number-indian-spectators-t20-match-new-zealand-govt-mulls-caa-32474,"27, Jan 2020",Sports
6,http://www.fakingnews.com/sports/pant-orders-wicket-keeping-gloves-flipkart-company-delivers-kl-rahuls-address-32468,"25, Jan 2020",Sports
7,http://www.fakingnews.com/sports/pilot-supposed-fly-indian-team-new-zealand-falls-sick-kl-rahul-told-fly-plane-32411,"21, Jan 2020",Sports
108,http://www.fakingnews.com/sports/commentators-also-considered-icc-awards-contribution-game-equally-important-sanjay-manjrekar-32366,"15, Jan 2020",Sports
109,http://www.fakingnews.com/sports/besieged-pointed-questions-media-team-indias-defeat-ravi-shastri-kirit-somaiya-replies-maine-aapko-jawab-de-diya-hai-32356,"15, Jan 2020",Sports
110,http://www.fakingnews.com/sports/washington-sundar-not-nrc-documents-msk-prasad-rejects-rumours-sundars-selection-nz-series-32341,"13, Jan 2020",Sports
111,http://www.fakingnews.com/sports/dhoni-fan-refuses-fasttag-car-demands-slowtag-technology-32261,"06, Jan 2020",Sports
112,http://www.fakingnews.com/sports/mary-kom-fight-ddca-officials-spot-olympic-qualifiers-next-year-32200,"29, Dec 2019",Sports
113,http://www.fakingnews.com/sports/sanju-samson-hides-rishabh-pants-documents-hopes-become-part-playing-xi-nrc-32172,"26, Dec 2019",Sports
114,http://www.fakingnews.com/sports/kohli-defends-rishabh-pants-cheap-dismissal-says-treat-like-kachcha-nimbu-32147,"23, Dec 2019",Sports
115,http://www.fakingnews.com/sports/not-able-drop-jadhav-poor-performances-selectors-take-pants-help-expert-dropping-32143,"23, Dec 2019",Sports
116,http://www.fakingnews.com/sports/piyush-chawla-demands-portion-6-75-crs-advance-maintain-minimum-balance-bank-account-32130,"20, Dec 2019",Sports
117,http://www.fakingnews.com/sports/umpires-demand-15-minutes-workout-time-interval-anticipating-boundary-signals-shardul-thakur-playing-32108,"18, Dec 2019",Sports
118,http://www.fakingnews.com/sports/seen-shivam-dube-vijay-shankar-oxford-change-meaning-rounder-person-gives-runs-parts-ground-32074,"16, Dec 2019",Sports
