link,date,topic,title,text
https://www.hindustantimes.com/india-news/bjp-using-savarkar-and-shivaji-for-political-gains-says-shiv-sena/story-8xZpO9mkBThcchjWXNVQcJ.html,3/2/2020 13:08,politics,"BJP using Savarkar and Shivaji for political gains, says Shiv Sena","india

Updated: Mar 02, 2020 13:51 IST

The Shiv Sena on Monday attacked Maharashtra BJP unit president Chandrakant Patil over his demand that Aurangabad be renamed Sambhaji Nagar and criticised the party for not changing it when it was in power in the State.

In an editorial in its mouthpiece Saamana, the Shiv Sena mocked Patil and reminded him that Sena founder Bal Thackeray had publicly renamed Aurangabad as Sambhaji Nagar 25 years ago. The Sena accused the BJP of using issues of Veer Savarkar and the Maratha warrior king Shivaji merely for political gains.

The editorial said that Sena members are the descendants of Chhatrapati Shivaji and Chhatrapati Sambhaji and asked the BJP its lineage. Attacking its former ally, the Sena that Uttar Pradesh chief minister Yogi Adityanath changed of Allahabad and Faizabad after coming to power but BJP could not rechristen Aurangabad despite being in power in Maharashtra and at the Centre.

“In Maharashtra, there is no meaning left in the behaviour and talk of BJP. Chandrakant Patil is also following the footsteps of Fadnavis in talking where it is not necessary. Now he has gone to Sambhaji Nagar and said: ‘We are the descendants of Shivaji Maharaj and Sambhaji Maharaj and not Aurangzeb. Therefore, the name of Aurangabad must be changed’. In the last years, you had your government in Maharashtra as well as the Centre. Why could you not change the name of Aurangabad to ‘Sambhaji Nagar,” the editorial said.

Last week, Patil had asked the Uddhav Thackeray-led Maharashtra Vikas Aghadi government to officially change the name of the city. Patil was speaking in Aurangabad where civil polls are due next month.

The Sena slammed the BJP saying it is using issues such as Savarkar and Shivaji for political gains.

“Whether it is Sambhaji Nagar or Savarkar, these issues have been embraced by BJP just for the sake of politics. It was neither able to place one brick for the huge statue of Shivaji Maharaj nor did it give Bharat Ratna to Veer Savarkar... Since when did Chandrakant Patil become a historian? If he is so interested in digging up history, then he will realise that Hindu Hriday Samrat Balasaheb Thackeray had already renamed Aurangabad to Sambhaji Nagar 25 years ago,” it said."
https://www.hindustantimes.com/india-news/politics-of-violence-must-end-jagdeep-dhankhar/story-GREeeuoLD6GQVa5l9lwNQP.html,3/2/2020 13:08,politics,Politics of violence must end: Jagdeep Dhankhar,"india

Updated: Feb 22, 2020 02:41 IST

Hours after expressing satisfaction at easing of relation with the West Bengal government, governor Jagdeep Dhankhar on Friday said the politics of violence and murders must end in the state in view of the coming elections.

Dhankhar made the statement at Siliguri in north Bengal where he went for a day to attend a few programmes. Dhankhar, who has been at loggerheads with the Trinamool Congress government on multiple occasions, said at a media conference that the state’s name was associated with violence and murders associated with politics and elections.

Earlier in the day at Jalpaiguri, he said, “In the past 15-20 days, my rapport with the state government has picked up. I think, now, we are in the proper take-off stage.”

Later, he took a jibe at state politics, saying: “In last many years, West Bengal’s name has been associated with political and election violence and political murders. These things should come to an end. I believe all are trying to bring this to an end.” He said bureaucrats and policemen should act neutrally.

“It is a constructive suggestion. Our image in the entire country should be of the nature that we will have the most peaceful elections,” he told reporters in Siliguri. Dhankhar’s statement comes at a time when preparations are being made for the civic polls. The assembly polls will be held in 2021.

Education minister Partha Chatterjee, who held a meeting with Dhankhar at Raj Bhawan on Thursday, said: “He said what he wanted to. We don’t want to react on his statements every day.”"
https://www.hindustantimes.com/india-news/bengal-s-politics-of-violence-and-murder-must-end-guv-dhankhar/story-oZtn8H1LY6AIW8HFskqlAO.html,3/2/2020 13:08,politics,Bengal’s politics of violence and murder must end: Guv Dhankhar,"india

Updated: Feb 22, 2020 03:56 IST

Hours after expressing satisfaction at easing of relation with the Bengal government, governor Jagdeep Dhankhar on Friday said the politics of violence and murders must end in the state in view of the coming elections. Dhankhar made the statement at Siliguri in north Bengal where he went for a day to attend a few programmes.

Dhankhar, who has been at loggerheads with the government on multiple occasions, said at a media conference that the state’s name is associated with violence and murders associated with politics and elections.

Earlier in the day, at Jalpaiguri, he said, “In the last 15-20 days my rapport with the state government has picked up. I think now we are in the proper take-off stage.”

Later, he took a jibe at state politics and said, “In the last many years, West Bengal’s name has been associated with political and election-related violence and political murders. These things should come to an end. I believe all are trying to bring this to an end.” He added that bureaucrats and policemen should act neutrally.

“It is a constructive suggestion. Our image in the entire country should be of the nature that we will have the most peaceful elections,” he told reporters in Siliguri.

Dhankhar’s statement comes at a time when preparations are being made for the civic polls. The assembly polls will be held in 2021.

HT contacted senior Trinamool Congress ministers but nobody commented on Dhankhar’s statements till 7 pm.

“For violence to end, it is necessary that one should find out the root cause of violence,” said Dhankhar. He said efforts should be made to seize illegal explosives and bomb-making factories. “There should be a curb on this through a mission so that they can’t disturb the peace in the state,” he added.

Stressing on the need to have better relations between the governor and the state government, Dhankhar said, “We need dialogue and deliberation, we need to engage, we can’t be adversaries, we can’t be fighting with each other.”"
https://www.hindustantimes.com/editorials/disentangling-politics-and-crime/story-t03y9gNYNYXaq9WQbImt5L.html,3/2/2020 13:08,politics,Disentangling politics and crime,"editorials

Updated: Feb 13, 2020 19:58 IST

Expressing concern over the growing intersection of crime and politics, the Supreme Court (SC) has ordered political parties to publish the details of their candidates, with criminal charges, on their websites and social media platforms, and in newspapers. The parties must also clearly outline the nature of the charges, and explain why these candidates have been given tickets. This information must be made public, and a compliance report sent to the Election Commission (EC), within a specified period of time — and the failure to do so could be read as contempt. The order comes in the wake of the failure to effectively implement a 2018 court order which laid down similar, though somewhat more limited, guidelines.

The presence of politicians with criminal antecedents distorts democracy. A weak criminal justice system means that those accused of crimes — including heinous ones, such as murder and rape — are able to find ways to prevent a final judgment for years. They emerge as locally influential figures, who have illegally garnered resources. They develop a nexus with existing political leaders, the police machinery, and then branch off into newer kinds of business activities, which depend on State patronage. They, then, enter politics. Many win. For these legislators, public interest is not a priority.

The SC order is well-intentioned. It will force political parties to be more transparent. The compliance requirement is particularly significant, because it imposes tangible costs on parties if they fail to provide the requisite information and gives additional power to the EC. But it is also important to underline the limits of the order and the scope of misuse. Incumbent governments have shown a tendency to target political rivals, misusing law enforcement agencies. It is important that the SC order does not reinforce this trend. Till candidates are convicted, they must be treated as innocent. The criminalisation of politics also has deep roots. As political scientist Milan Vaishnav has explained, there is a supply side issue, where such individuals seek to enter politics for preservation and expanding wealth, and a demand side issue, where the dependence of parties on illegal finance is high, and where voters see many such individuals as capable of “getting work done”. Therefore, unless there are reforms in the criminal justice system which lead to quick judicial decisions, there is reform of the political finance regime and the dependence on wealth to win polls shrinks, and unless there is an overall reform in governance so that citizens are no longer dependent on locally influential representatives for work, politics and crime will remain enmeshed."
https://www.hindustantimes.com/fashion-and-trends/fashion-and-politics-hand-in-hand-at-oscars-red-carpet/story-JrfPPpefZYOSwVAen1GG9H.html,3/2/2020 13:08,politics,Fashion and politics hand-in-hand at Oscars red carpet,"fashion-and-trends

Updated: Feb 11, 2020 18:00 IST

The 92nd edition of Academy Awards bestowed some of the most outstanding icons of the industry on Sunday and also gave the fashion police some serious business.

Besides fashion and glamour, Oscar’s haute couture also reflected politics with celebrities repurposing their red carpet looks with topics like sustainability and equality.

The Best Male Actor of the evening, Joaquin Phoenix used the opportunity of his acceptance speech to promote the idea of animal rights wearing the Stella McCartney tuxedo that he had planned to wear for the entire award season of 2020, reported The Hill.

According to The Hill, the Oscar presenter Jane Fonda announced on her first Fire Drill that the red coat she was wearing shall be the last outfit that she would ever buy and she proved it by donning the same dress that she wore at the Cannes Film Festival 2014.

According to a report in E!News, Kaitlyn Dever said that her Louis Vuitton dress was made of an eco-friendly fiber - Tencel.

The estimate of the Environmental Protection Agency (EPA) suggests that more than 11 million tons of textiles were put to landfills in the year 2017 which further contributed to water pollution and carbon emissions. Despite the same, many celebrities changed into a second outfit for the after-parties.

Natalie Portman made a real fashion statement at the 92nd Oscars’ red carpet as she chose to wear a cape embroidered with the names of women who directed movies last year, and were snubbed for this year’s ceremony.



(This story has been published from a wire agency feed with a few modifications to the text.)

Follow more stories on Facebook and Twitter"
https://www.hindustantimes.com/assembly-elections/three-muslim-dominated-seats-record-highest-voter-turnout-in-delhi-assembly-election/story-imYEL4vewQJMYykX76Yp5N.html,3/2/2020 13:08,politics,Three Muslim-dominated seats record highest voter turnout in Delhi assembly election,"assembly-elections

Updated: Feb 09, 2020 06:51 IST

After a high-decibel and bitter poll campaign, 61.7% of Delhi’s electors turned out to vote by 9 pm on Saturday in the assembly elections that will decide who will govern the city-state for the next five years. The polling percentage was 5.42 percentage points lower than in the 2015 assembly polls, when 67.12% of voters trooped out to vote.

Three Muslim-dominated seats -- Seelampur, Mustafabad and Matia Mahal -- recorded the highest voter turnout in the elections in which the Aam Aadmi Party (AAP) is seeking to retain power in what is seen as a bipolar contest against the Bharatiya Janata Party (BJP).

The highest turnout, until 9 pm, was recorded in Seelampur at 71.4% followed by Mustafabad at 70.56%; both seats are in northeast Delhi. Matia Mahal in old Delhi recorded a turnout of 70.33%.

All three constituencies have lately witnessed protests against the Citizenship (Amendment) Act, or CAA, which proposes to fast-track the grant of Indian citizenship to so-called persecuted minorities from the Muslim-majority nations of Afghanistan, Bangladesh and Pakistan such as Hindus, Sikhs, Christians, Buddhists, Jains and Parsis.

According to officials, the turnout in the first hour of polling was just 4.33%, which grew to 16.36% at 11 am, 26.36% at 1 pm, 45.54% at 3 pm and 57.87% at 5 pm. Till 5 pm, the Northeast district had recorded he highest voter turnout at 63.4% while New Delhi district was the lowest at 44.29%.

Poll officials said that the tentative lowest turnout till 9 pm was recorded at Delhi Cantonment, at 45.28%, followed by Chhatarpur at 46.51% and Ballimaran at 49.39%. Okhla witnessed a 58.83% voter turnout, which is lower than the 60.73% in the 2015 polls.

On constituencies recording top turnout and one of the lowest -- Ballimaran -- being Muslim-dominated constituencies, Praveen Rai, political analyst with the Centre for Study of Developing Societies, said: “Ballimaran and Okhla are constituencies in which the anti-CAA protests in Jama Masjid and Shaheen Bagh fall under. It is likely that many voters have boycotted the polls. In other Muslim constituencies, people voted in large numbers for betterment in civic conditions as well as in reaction to their anxieties concerning the citizenship law.”

In the 2015 assembly election, Gokalpur in northeast Delhi had recorded the highest turnout of 73.46% while Delhi Cantonment had polled the lowest votes at 58.49%. All assembly constituencies except Delhi Cantonment had polled above 60% votes in 2015 assembly elections.

In 2015, the ruling AAP received a landslide verdict, winning 67 out of the 70 seats. The BJP won the remaining three and the Congress ended up with none.

The AAP won 54% of the vote share in the polls which decreased in the civic body polls of 2017 and the Lok Sabha elections of 2019. The BJP polled 32% votes in the 2015 assembly polls which increased to 36% in the 2017 civic body elections. The saffron party won 56% votes in the 2019 Lok Sabha elections. In 2019, it had a lead in 65 of the 70 assembly constituencies. The Congress got just 10% of votes in 2015, 21% in 2017 and 23% in the 2019 Lok Sabha polls.

Delhi’s chief electoral officer (CEO) Ranbir Singh said that Saturday’s polling was smooth and peaceful, as the enforcement was better compared to the 2015 assembly polls. He said that there were nearly 14.79 million registered voters in Delhi across 70 assembly segments. Out of the total number of eligible voters, there were 8.1 million male voters and 6.6 million female voters. Besides this, there are 869 third-gender voters.

Singh said that the number of electronic voting machines (EVMs) malfunctioning this time was just 0.29% as compared to 0.31% in 2019 Lok Sabha polls. Voting began at 8 am in the city amid tight security on Saturday and continued past the scheduled close of 6 pm in some booths to accommodate voters who were still waiting in queues.

“Till 9 pm, polling was still on at least 146 booths. There were long queues till late evening; the overall turnout could be updated only once the voting concludes. All those who had entered the polling stations by 6 pm were allowed to cast their vote,” said Singh.

Election officials said that there were as many as 13,571 polling stations at 2,688 locations. Out of these, 3,141 were designated critical polling stations and 144 vulnerable polling stations. The highest number of voters was in the Matiala constituency with around 400,000 voters. Chandni Chowk is the constituency with the lowest number of voters at 100,000.

There were around 200,000 voters above the age of 80, while 137 registered voters were above the age of 100, of whom 60 turned up to vote.

Of the 2,429 people above the age of 80 years, who opted for postal ballots, 2,257 cast their votes. Besides, of the 488 persons with disabilities who opted for the facility, 429 exercised their franchise.

The postal ballot, a facility hitherto restricted to the armed forces, was extended for the first time in Delhi elections to those above 80 years of age and the specially abled.

Also, in the 11 constituencies with a total electorate of 1.8 million where QR code-enabled voter slips were issued for the first time in Delhi, more than 1.1 million exercised their franchise.

“The voter slips are scanned by mobile phones. This is the first time that a booth app was used by the polling parties in these constituencies. It helps in faster scanning of names in the voter list and hence expedites the voting process,” said Kushal Pathak, director of information, Election Commission of India.

To ensure peaceful and fair polling in all 70 constituencies, as many as 190 companies of Central Armed Police Forces (CAPF) were deployed. Besides, 19,000 Home Guards and 42,000 Delhi Police personnel were also on duty."
https://www.hindustantimes.com/assembly-elections/delhi-assembly-election-2020-shiv-sena-disses-bjp-s-politics-in-delhi-showers-praise-on-aap-ahead-of-polls/story-4xk6XYV9CIlHfCe3ii8UrO.html,3/2/2020 13:08,politics,Cong’s Maharashtra ally Shiv Sena showers praise on AAP’s Kejriwal in Delhi,"assembly-elections

Updated: Feb 07, 2020 14:41 IST

A day before Delhi Assembly elections, the Shiv Sena has praised Delhi chief minister Arvind Kejriwal for the work done by his Aam Aadmi Party (AAP) and slammed the Bharatiya Janata Party for what it described as “communal polarisation” to garner votes and come to power in Delhi.

“Narendra Modi and Amit Shah have put their lives at stake on Delhi [polls] after they lost Maharashtra and after a crushing defeat in Jharkhand. Nothing wrong if they want to win Delhi, but despite an army of 200 MPs, BJP CMs and the entire Modi cabinet, it seems that Kejriwal is weighing heavy on all others,” an editorial in Shiv Sena mouthpiece Saamana said on Friday.

Delhi will vote on February 8 and the results will be declared on February 11.

In the previous election, AAP had won a resounding majority bagging 67 out of 70 seats. In contrast, the BJP, which was targeting a two-third majority, won just three seats.

The editorial lauded the Kejriwal government’s work in the last five years. It added that while Kejriwal is seeking votes on work done in public health, school education, etc, the “top leaders of BJP and its minister are engaged in political mudslinging of Hindu versus Muslim.”

“Kejriwal is seeking votes on the basis of work done in five years. This is a new experiment in the country’s politics. This should be welcomed beyond party lines. Voters of Delhi are intelligent,” said the editorial in Sena mouthpiece Saamana.

The former ally of the BJP acknowledged Kejriwal’s efforts in Delhi and hit out at the Centre for “creating obstacles” for the AAP government.

“Even after having limited power and despite regular obstacles created by the Centre, his [Kejriwal] work in the field of education, health and public facilities is ideal,” the Sena said.

The Sena slammed the BJP for calling the AAP Convenor a “terrorist” and for expressing “dislike” after he recited Hanuman Chalisa at an event in New Delhi.

“The BJP’s hate for Kejriwal is so extreme that they don’t even like him going to a Hanuman temple and reciting Hanuman Chalisa,” the Sena said, taking a dig at the BJP in Saamana.

It added, “If he is [a terrorist], then what is the Centre waiting for? They should act. Does the BJP want to suggest that 70% of Delhi voters voted for a terrorist in 2014?”"
https://www.hindustantimes.com/editorials/understanding-the-politics-of-nitish-kumar-ht-editorial/story-quAZOPSi2HZMhIdQGV8s0H.html,3/2/2020 13:08,politics,HT Editorial - editorials - Hindustan Times,"editorials

Updated: Feb 03, 2020 20:57 IST

Indian politics is dominated by regional satraps. They run one-person parties in which the entire structure is dependent on the leader. The space for intra-party dissent is limited or non-existent. They have a loyal social base, primarily, at least in North India, derived from their own caste identities.

In this matrix fits Nitish Kumar. The Janata Dal (United) is his party. His decisions — be it to leave the National Democratic Alliance (2013), ally with Lalu Prasad (2014) or return to the NDA (2018) — reign supreme. But where Kumar is different is that his own social base is extremely limited in the caste-ridden politics of Bihar. The JD(U) has not won a single election on its own, and has always depended on allies, be it the Bharatiya Janata Party (BJP) or the Rashtriya Janata Dal (RJD). It is this political vulnerability that explains his decisions. Mr Kumar was not sure whether the BJP would back him as the chief ministerial candidate for assembly polls at the end of 2020, and engaged with both the RJD and the Congress to explore alternatives. But with Amit Shah declaring that Mr Kumar would indeed be the CM face, he has decided to firmly remain within the NDA fold. His decision to expel Pavan Varma and Prashant Kishor — who had both adopted a critical stance against the BJP — was a message that the NDA would stand united. This also means that Mr Kumar, despite indifferent governance in his third term, starts out as the favourite for the Bihar polls in 2020."
https://www.hindustantimes.com/education/make-your-summer-count-here-are-some-of-the-coolest-internships-on-offer/story-ut5huNYqgx4A9L6VBxIoKJ.html,3/2/2020 13:08,politics,Make your summer count. Here are some of the coolest internships on offer,"education

Updated: Jan 29, 2020 21:03 IST

It’ll be summer soon, and that means it’s time to start exploring fellowships, volunteer programmes, internships, maybe even start-ups. Added to the long list of options, as students try to expand their horizons and make their CVs more impressive, are the spaces of culture, heritage and urban studies.

Organisations operating in these spaces are responding with programmes for undergraduate and postgraduate students, and they say applications have already started coming in.

The work typically involves conducting surveys and research for white papers, assisting in urban planning projects, organising events and even engaging with the public at events, walks and trails.

Organisations in Mumbai to aim for include the Godrej India Culture Lab, Khaki Heritage Foundation, and the globally run Young Leaders for Active Citizenship (YLAC).

Exchange of ideas

The Culture Lab in Mumbai has a national fellowship programme and invites undergraduates, postgraduates and PhD students to apply for its two-month, full-time opportunity. Since the Lab’s focus is on urban-rural narratives, digital India, educational alternatives, dissent frameworks, environmental policies, and identity politics, students from any discipline who are working in or at the intersection of such themes are welcome to apply.

Selected fellows will assist in organising events, conducting research and producing white papers. The programmes are held in June-July or July-August, depending on the candidate’s academic schedule, and students are required to work 40 hours a week.

“The fellowship will take students beyond academics and push them to think in ways that come from a multidisciplinary approach,” says Koninika Roy, catalyst at India Culture Lab. “Since the India Culture Lab is all about a cross-pollination of ideas, students will get to learn a great deal by interacting with experts, working on the thesis for their own college projects (if any) and showcasing their work to a wider audience.” All fellows are paid a stipend.

Policy-making

For students in Classes 11 and 12, set to begin senior college, YLAC, which focuses on transforming learning systems and preparing younger generations to lead change, conducts a High School Achievers’ Programme every summer. Two modules are available — one with a focus on developing critical thinking through debates in political science, sociological concepts, philosophy and economics; the other with a focus on collaborating with NGOs, going on field visits, engaging with local communities and using academic skills to document and address social issues. The three-week programme is held in May in Bengaluru and in June in Mumbai and Delhi.

For college students interested in policymaking and politics, there is a month-long programme called Policy in Action, held across Bengaluru, Chennai, Mumbai and Delhi and focused on developing core skills of advocacy and policy analysis. Students work closely on live projects with Members of the Parliament (MPs), who are invited as guest faculty. The sessions are conducted over the weekends and students work on projects remotely.

All fellowships require students to pay, but scholarships are available.

Siddhaarth Sudhakarna, 25, a senior product analyst, had enrolled in the Policy in Action fellowship last year. “I wanted to learn from the people actually working on national policies. We were all assigned to an MP or a planning agency to work on a topic. I was given a policy brief on judicial reform and how the system can be made more effective,” he says. As a software engineer he had no clue how to proceed. “But we had a team member who was a lawyer and guided us with questions and how to formulate them. The YLAC team also helped a lot, offering domain expertise. There’s so much about the Indian system that we should know as citizens, but we don’t,” Sudhakarna adds.

Know your city

For those interested in culture, heritage and culinary history, Khaki Lab by the Khaki Heritage Foundation has opportunities this summer for college students. “We have film screenings, food trails and panel discussions coming up and we would like college students to collaborate with us to organise these events and in the process, learn about the city’s forgotten history,” says founder Bharat Gothoskar.

Alisha Sadikot, a city historian and founder of the Inheritage Project, has two final year tourism students from Ruia college interning with her for the coming four months. “I have worked with their class before to do workshops and walking tours and that led to this internship opportunity. They had to intern, as part of their degree programme, with an agency in their field. The students will work with me and assist in my programmes and also develop one individual project idea of their own,” Sadikot says. “They will explore the wider fields of public history, urban heritage and engagement as part of their degree in travel and tourism, with a view to also exploring evolving employment opportunities in the field."
https://www.hindustantimes.com/india-news/vice-president-venkaiah-naidu-pitches-for-state-funding-of-elections-to-curb-money-power-in-politics/story-euGVEfYGm5TljHYPO5KnvK.html,3/2/2020 13:08,politics,"Law needed to check reckless promises of political parties, says Vice President Venkaiah Naidu","india

Updated: Jan 09, 2020 20:11 IST

Vice President and Rajya Sabha Chairman Venkaiah Naidu wants a law to check “reckless and unsustainable populist” promises of political parties. In a speech in Hyderabad on Thursday, he also pitched for simultaneous elections to curb money power in politics.

Speaking at an event organised by Foundation for Democratic Reforms, Bharat Institute of Public Policy and the Hyderabad University, Naidu said that the use of money in politics have raised concerns that “you have better chances of becoming an MP or an MLA at the cost of a more qualified candidate who is poor”.

Naidu slammed “unsustainable” populist promises and argued that a law like Fiscal Responsibility and Budget Management Act (FRBM) is now required to check such measures as it harms the poor and the middle class.

The FRBM act was passed in 2003 by Indian Parliament for institutionalising financial discipline and reducing the fiscal deficit to a manageable limit to improve the overall financial health. It aimed for better use of public funds.

“Perhaps a time has come to consider a suitable legislation on the lines of FRBM Act,” Naidu said adding, “If a cap is introduced on the proportion of budgetary resources that can be deployed for short term benefits by law, then perhaps all parties will have a level playing field, and reckless and unsustainable populist promises can be kept under check.”

The Vice President underlined that a transparent budget helps to translate tax money into tangible services which are critical to help citizens make informed political choices.

Naidu also suggested that Parliament should think of making a law for ensuring transparency in the polity and to make accounts of political parties public.

A candid Naidu maintained that political parties need money to run their offices elections cost money for the parties and candidates.

But raising serious concerns over use of money in politics he said, “The money power is placing entry barriers to the more deserving but who are less endowed in terms of resources.”

Pointing out that 88 per cent of Lok Sabha MPs are ‘crorepatis’, he quipped, “This paradox of poor India with rich parliamentarians is raising concerns about growing role of money power in politics.”

“It has been reported that money power influences election processes in 40 wide ranging ways. These include selecting a candidate, setting up dummy candidates, financing weaker candidates of other parties, hiring vehicles, buying space in media, bribing voters through money, biryani, alcohol and consumer goods etc,” he said.

According to Naidu, mere expenditure ceilings and exhortations are not enough.

Naidu also supported simultaneous elections saying, “Simultaneous polls could also significantly bring down the cost of holding elections by the Election Commission of India and also the expenditure by the political parties besides other advantages. Hence, I urge upon the political parties to seriously consider the option of simultaneous polls and evolve a consensus.”"
