,link,date,topic,src
0,https://www.hindustantimes.com/cricket/india-vs-south-africa-live-cricket-score-ind-vs-sa-1st-odi-at-dharamsala-match-full-scorecard-latest-updates/story-POnzeEZHj4t43cKIQkxsEK.html,"Mar 12, 2020 ",sports,HT
1,https://www.hindustantimes.com/cricket/no-foreign-player-available-for-ipl-till-april-15-due-to-coronavirus-outbreak-report/story-7mIjuA3fNEChAEuI2W4mXL.html,"Mar 12, 2020 ",sports,HT
2,https://www.hindustantimes.com/cricket/coronavirus-outbreak-spectator-at-india-vs-australia-women-s-t20-world-cup-final-diagnosed-with-covid-19/story-BbPSkRv5zMZi7r9G5o9KIK.html,"Mar 12, 2020 ",sports,HT
3,https://www.hindustantimes.com/cricket/ipl-governing-council-to-meet-on-march-14-to-discuss-coronavirus-threat/story-vESjiFNt0ttVGMTAoYA7VI.html,"Mar 12, 2020 ",sports,HT
4,https://www.hindustantimes.com/cricket/coronavirus-outbreak-foreign-players-participation-in-ipl-in-doubt-after-fresh-visa-restrictions/story-38OaZ1Se5s1SEquyVdduDK.html,"Mar 12, 2020 ",sports,HT
5,https://www.hindustantimes.com/cricket/road-safety-world-series-remaining-matches-to-be-played-behind-closed-doors-due-to-coronavirus-scare/story-hNUs49uoSaE51VpAE8L8mI.html,"Mar 12, 2020 ",sports,HT
6,https://www.hindustantimes.com/cricket/ranji-trophy-final-day-4-live-updates-bengal-eye-fightback-against-saurashtra/story-r4Pu3n83QFfiy0IxbGe2wI.html,"Mar 12, 2020 ",sports,HT
7,https://www.hindustantimes.com/cricket/india-vs-south-africa-hardik-pandya-on-verge-of-joining-elite-list-in-odi-cricket/story-N7oUydNfI5MwZNJGppLSGN.html,"Mar 12, 2020 ",sports,HT
8,https://www.hindustantimes.com/cricket/india-vs-south-africa-organisers-doing-all-to-make-lucknow-odi-a-houseful-amid-coronavirus-scare/story-PwkNSvsr2bzVrUwfgnfWHK.html,"Mar 12, 2020 ",sports,HT
9,https://www.hindustantimes.com/cricket/uncertainty-over-ipl-thickens-after-government-issues-fresh-visa-guidelines/story-hzfuhQmnBZtLp7tyBmO4xL.html,"Mar 12, 2020 ",sports,HT
10,https://www.hindustantimes.com/cricket/road-safety-world-series-jonty-rhodes-albie-morkel-steer-south-africa-legends-to-victory/story-Rr1TURFNl9khmPO1v0EKvL.html,"Mar 12, 2020 ",sports,HT
11,https://www.hindustantimes.com/cricket/icc-board-meeting-under-coronavirus-cloud-report/story-Taq8H2zI6MhrDMqM5LcecI.html,"Mar 12, 2020 ",sports,HT
12,https://www.hindustantimes.com/cricket/ranji-trophy-final-bengal-crawl-as-saurashtra-chase-history/story-pZEgjV5Zpgw1hjq9yOijdP.html,"Mar 12, 2020 ",sports,HT
13,https://www.hindustantimes.com/cricket/india-vs-south-africa-spit-and-polish-virus-dilemma-for-players/story-R3Hn1kULFVrT7eMhec407M.html,"Mar 12, 2020 ",sports,HT
14,https://www.hindustantimes.com/cricket/virus-impact-on-ipl-maharashtra-orders-ties-in-empty-stadiums/story-HEQ5gRZmspl4SN7CNIeC8J.html,"Mar 12, 2020 ",sports,HT
15,https://liveupdates.hindustantimes.com/india/coronavirus-india-world-latest-news-covid-19-death-toll-march-12-2020-21583970909950.html,"Mar 12, 2020 ",sports,HT
16,https://www.hindustantimes.com/india-news/up-govt-s-name-and-shame-hoardings-not-backed-by-law-remarks-sc-at-hearing-challenging-high-court-verdict/story-UHanyUt37aAIjJ5TFkUw5I.html,"Mar 12, 2020 ",sports,HT
17,https://www.hindustantimes.com/india-news/amit-shah-welcomes-jyotiraditya-scindia-his-induction-will-strengthen-bjp-s-resolve/story-NzMQEQvP9KTJaubHtFX33O.html,"Mar 12, 2020 ",sports,HT
18,https://www.hindustantimes.com/tech/hotstar-rolls-back-disney-for-indian-users-in-less-than-24-hours/story-726iX8g3eJTCVw7F6nW4OK.html,"Mar 12, 2020 ",sports,HT
19,https://www.hindustantimes.com/more-lifestyle/a-motorcycle-made-in-india-gives-the-best-bang-for-your-biking-buck/story-bw3si8FLXHA54HzHEzoZaM.html,"Mar 12, 2020 ",sports,HT
