,link,date,topic,src
0,https://timesofindia.indiatimes.com/politics/news/cwc-must-hold-leadership-elections-to-energise-workers-shashi-tharoor/articleshow/74225057.cms,20 Feb 2020,politics,TOI
1,https://timesofindia.indiatimes.com/politics/news/2-bjp-mlas-reach-out-to-hd-kumaraswamy-lingayat-sect-legislators-hold-meeting/articleshow/74215138.cms,19 Feb 2020,politics,TOI
2,https://timesofindia.indiatimes.com/politics/news/trying-formula-of-1990s-bihar-bjp-likens-prashant-kishor-to-musclemen/articleshow/74211599.cms,19 Feb 2020,politics,TOI
3,https://timesofindia.indiatimes.com/politics/news/piyush-goyal-says-terror-has-no-religion-slams-congress-for-trying-to-raise-hindu-terror-bogey/articleshow/74197158.cms,18 Feb 2020,politics,TOI
4,https://timesofindia.indiatimes.com/politics/news/prashant-kishor-questions-nitish-kumars-development-model-in-bihar-jdu-hits-back/articleshow/74193174.cms,18 Feb 2020,politics,TOI
5,https://timesofindia.indiatimes.com/politics/news/kamal-nath-denies-being-angry-with-jyotiraditya-scindia/articleshow/74190863.cms,18 Feb 2020,politics,TOI
6,https://timesofindia.indiatimes.com/politics/news/prashant-kishor-launches-baat-bihar-ki-campaign-targets-nitish-kumar/articleshow/74186907.cms,18 Feb 2020,politics,TOI
7,https://timesofindia.indiatimes.com/politics/news/with-praise-for-bapu-rss-chief-criticises-recent-stir/articleshow/74185278.cms,18 Feb 2020,politics,TOI
8,https://timesofindia.indiatimes.com/politics/news/no-need-for-minority-community-to-worry-about-caa-babulal-marandi-after-joining-bjp/articleshow/74179825.cms,17 Feb 2020,politics,TOI
9,https://timesofindia.indiatimes.com/politics/news/milind-deora-ajay-maken-trade-barbs-congress-asks-leaders-to-introspect/articleshow/74179443.cms,17 Feb 2020,politics,TOI
10,https://timesofindia.indiatimes.com/politics/news/delhi-has-given-birth-to-new-politics-in-country-arvind-kejriwal/articleshow/74167420.cms,17 Feb 2020,politics,TOI
11,https://timesofindia.indiatimes.com/politics/news/maharashtra-government-unnatural-unrealistic-jp-nadda/articleshow/74159087.cms,16 Feb 2020,politics,TOI
12,https://timesofindia.indiatimes.com/politics/news/as-per-npr-i-could-land-ata-detention-centre-gehlot/articleshow/74146423.cms,15 Feb 2020,politics,TOI
13,https://timesofindia.indiatimes.com/politics/news/disappearance-of-congress-led-to-bjps-defeat-in-delhi-prakash-javadekar/articleshow/74135713.cms,14 Feb 2020,politics,TOI
14,https://timesofindia.indiatimes.com/politics/news/wont-allow-hate-speeches-during-polls-in-bihar-chirag/articleshow/74127633.cms,14 Feb 2020,politics,TOI
15,https://timesofindia.indiatimes.com/politics/news/will-hit-the-streets-if-congress-manifesto-not-fulfilled-in-madhya-pradesh-jyotiraditya-scindia/articleshow/74123668.cms,13 Feb 2020,politics,TOI
16,https://timesofindia.indiatimes.com/politics/news/let-sharad-yadav-be-the-face-of-grand-alliance-in-bihar-upendra-kushwaha/articleshow/74122547.cms,13 Feb 2020,politics,TOI
17,https://timesofindia.indiatimes.com/politics/news/after-delhi-drubbing-congress-leaders-want-party-to-reinvent-itself-to-face-new-challenges/articleshow/74119638.cms,13 Feb 2020,politics,TOI
18,https://timesofindia.indiatimes.com/politics/news/blame-game-in-congress-after-partys-rout-in-delhi-assembly-polls/articleshow/74099928.cms,12 Feb 2020,politics,TOI
19,https://timesofindia.indiatimes.com/politics/news/raising-voice-in-democracy-not-a-crime-priyanka-gandhi/articleshow/74095910.cms,12 Feb 2020,politics,TOI
20,https://timesofindia.indiatimes.com/politics/news/controlaltdelhiite-congress-needs-a-reboot/articleshow/74094363.cms,12 Feb 2020,politics,TOI
21,https://timesofindia.indiatimes.com/politics/news/aapsolute-majority-how-kejriwal-did-it/articleshow/74094338.cms,12 Feb 2020,politics,TOI
22,https://timesofindia.indiatimes.com/politics/news/why-poorvanchali-card-failed-for-bjp-migrants-want-a-better-life/articleshow/74094349.cms,12 Feb 2020,politics,TOI
23,https://timesofindia.indiatimes.com/politics/news/muslim-shift-fully-to-aap-despite-congs-caa-stance/articleshow/74094357.cms,12 Feb 2020,politics,TOI
24,https://timesofindia.indiatimes.com/politics/news/delhi-elections-2020-how-kejriwal-2-0-delivered-aap-3-0/articleshow/74094326.cms,12 Feb 2020,politics,TOI
25,https://timesofindia.indiatimes.com/politics/news/modi-magic-not-enough-bjp-needs-local-faces-to-win-states/articleshow/74094372.cms,12 Feb 2020,politics,TOI
26,https://timesofindia.indiatimes.com/politics/news/nitish-kumar-evades-queries-on-delhi-poll-outcome-rivals-say-bihar-will-be-next-destination/articleshow/74086680.cms,11 Feb 2020,politics,TOI
27,https://timesofindia.indiatimes.com/politics/news/beginning-of-new-politics-and-a-victory-of-india-says-kejriwal-on-delhi-poll-results/articleshow/74082492.cms,11 Feb 2020,politics,TOI
28,https://timesofindia.indiatimes.com/politics/news/aap-sweeps-delhi-for-2nd-time-bjp-gains-congress-decimated-again/articleshow/74082404.cms,11 Feb 2020,politics,TOI
29,https://timesofindia.indiatimes.com/politics/news/i-love-you-arvind-kejriwal-to-people-of-delhi/articleshow/74082201.cms,11 Feb 2020,politics,TOI
